stakeholder goal,unique phrases,interviewer goal,from stakeholder,unmatched phrase,total turns,multi-turn goal,type errors,from interviewer,total phrases
1,1,0,1,1,78,,,0,2
0,2,2,0,,78,,,2,2
,,,,,78,,,,
3,4,0,6,,78,,,0,5
2,5,0,4,1,78,1,,1,6
1,5,0,2,2,78,1,,3,7
,,,,,78,,,,
3,6,1,4,,78,1,,2,6
3,5,0,5,,78,,,0,5
0,3,2,0,,78,,,3,3
0,2,2,0,1,78,,,2,3
3,3,0,3,,78,,,0,3
0,4,3,1,,78,1,,3,4
1,5,2,3,,78,,,2,5
3,6,0,8,,78,,,0,7
3,5,0,5,,78,,,0,5
,,,,,78,,,,
,,,,,78,,,,
,,,,,78,,,,
,,,,,65,,,,
,,,,,65,,,,
,,,,,65,,,,
,,,,,65,,,,
,,,,,65,,,,
4,9,0,9,,65,,,0,9
2,6,0,6,1,65,,,0,7
3,4,0,4,,65,,,0,4
3,8,0,8,1,65,,,0,9
3,8,0,8,3,65,,,0,11
7,10,0,10,,65,,,0,10
3,7,0,7,1,65,,,0,8
6,7,0,7,1,65,,,0,8
9,9,0,9,,65,,,0,9
6,7,0,7,,65,,,0,7
8,17,0,17,1,65,,,0,18
7,9,0,9,1,65,,,0,10
4,7,0,7,1,65,,,0,8
3,4,0,3,,65,1,,1,4
3,4,0,4,,65,,,0,4
,,,,,65,,,,
2,4,0,4,,65,,,0,4
3,8,0,8,,65,,,0,8
3,3,0,3,,65,,,0,3
,,,,,65,,,,
3,7,0,7,,65,,,0,7
,,,,,65,,2,,
,,,,,65,,2,,
2,5,0,5,,65,,,0,5
4,4,0,4,,65,,,0,4
,,,,,65,,2,,
,,,,,65,,,,
,,,,,65,,,,
,,,,,48,,,,
,,,,,48,,2,,
4,7,0,7,,48,,,0,7
1,5,1,4,1,48,1,,1,6
8,17,0,17,,48,,,0,17
7,12,0,12,,48,,,0,12
4,8,0,8,,48,,,0,8
,,,,,48,,,,
,,,,,48,,2,,
3,7,0,7,1,48,,,0,8
3,5,0,5,1,48,,,0,6
,,,,,48,,,,
,,,,,48,,2,,
2,3,0,3,,48,,,0,3
3,6,0,5,,48,1,,1,6
2,5,0,5,,48,,,0,5
,,,,,48,,,,
2,4,0,4,,48,,,0,4
4,7,0,5,,48,1,,2,7
2,9,0,6,1,48,2,,3,10
2,5,1,3,,48,2,,2,5
4,4,0,4,,48,,,0,4
4,4,0,4,,48,,,0,4
,,,,,48,,,,
3,3,0,3,,98,,,0,3
2,4,0,4,,98,,,0,4
3,3,0,3,,98,,,0,3
,,,,,98,,,,
,,,,,98,,,,
,,,,,98,,2,,
,,,,,98,,,,
,,,,,98,,,,
,,,,,98,,,,
,,,,,98,,,,
2,9,0,9,,98,,,0,9
,,,,,98,,,,
,,,,,98,,,,
2,4,0,4,1,98,,,0,5
2,4,0,4,,98,,,0,4
,,,,,98,,,,
,,,,,98,,2,,
,,,,,98,,,,
,,,,,98,,,,
,,,,,98,,,,
,,,,,98,,2,,
,,,,,98,,,,
,,,,,98,,2,,
3,3,0,3,,98,,,0,3
2,3,0,3,,98,,,0,3
,,,,,98,,2,,
,,,,,98,,2,,
2,3,0,3,,98,,,0,3
,,,,,98,,2,,
,,,,,98,,2,,
2,3,0,3,,98,,,0,3
,,,,,98,,2,,
,,,,,98,,2,,
3,4,0,4,1,98,,,0,5
2,4,0,4,,98,,,0,4
2,6,0,6,,98,,,0,6
,,,,,98,,,,
,,,,,98,,,,
,,,,,98,,,,
,,,,,98,,,,
,,,,,98,,,,
,,,,,98,,,,
,,,,,98,,,,
,,,,,98,,2,,
2,4,0,4,,98,,,0,4
,,,,,98,,2,,
,,,,,98,,2,,
,,,,,98,,,,
,,,,,98,,,,
2,2,0,2,,77,,,0,2
2,3,0,3,,77,,,0,3
5,5,0,5,,77,,,0,5
5,10,1,9,,77,1,,1,10
5,9,0,9,,77,,,0,9
4,9,0,9,,77,,,0,9
3,5,0,5,,77,,,0,5
2,2,0,2,2,77,,,0,4
5,7,0,7,,77,,,0,7
3,9,0,9,1,77,,,0,10
5,10,0,10,,77,,,0,10
4,7,0,7,,77,,,0,7
3,7,0,7,,77,,,0,7
4,5,0,5,,77,,,0,5
6,6,0,6,,77,,,0,6
4,8,0,8,2,77,,,0,10
4,10,0,10,,77,,,0,10
4,6,0,6,,77,,,0,6
2,6,0,6,,77,,,0,6
,,,,,77,,2,,
2,3,0,3,1,77,,,0,4
3,3,0,3,,77,,,0,3
2,2,0,2,,77,,,0,2
7,7,0,7,,77,,,0,7
7,9,0,9,,77,,,0,9
2,5,0,5,,77,,,0,5
1,4,0,4,1,77,,,0,5
6,8,0,8,,77,,,0,8
4,9,0,9,,77,,,0,9
2,4,0,4,,77,,,0,4
,,,,,77,,,,
,,,,,77,,,,
,,,,,77,,2,,
,,,,,77,,2,,
4,9,0,9,1,77,,,0,10
4,14,0,13,,77,1,,1,14
4,6,0,6,,77,,,0,6
,,,,,77,,,,
,,,,,77,,,,
,,,,,77,,,,
,,,,,77,,,,
,,,,,77,,,,
,,,,,77,,,,
4,6,0,6,,77,,,0,6
3,7,0,7,,77,,,0,7
3,8,1,6,,77,2,,2,8
3,8,1,6,,77,2,,2,8
3,5,0,5,2,77,,,0,7
,,,,,77,,2,,
2,6,0,6,1,77,,,0,7
5,11,0,11,1,77,,,0,12
6,10,0,10,,77,,,0,10
5,7,0,9,,77,,,0,8
2,3,0,3,,77,,,0,3
2,2,0,2,2,77,,,0,4
5,10,0,9,,77,1,,1,10
3,9,0,8,1,77,1,,1,10
3,6,0,6,,77,,,0,6
,,,,,77,,,,
,,,,,77,,,,
,,,,,77,,,,
,,,,,77,,,,
,,,,,77,,,,
,,,,,77,,,,
,,,,,77,,2,,
,,,,,77,,2,,
3,7,0,7,,77,,,0,7
7,15,0,15,,77,,,0,15
3,7,0,7,,77,,,0,7
3,6,0,6,1,77,,,0,7
3,7,0,7,,77,,,0,7
,,,,,77,,,,
,,,,,77,,,,
0,2,2,0,,77,,,2,2
0,2,2,0,,77,,,2,2
,,,,,77,,,,
,,,,,77,,2,,
,,,,,77,,,,
,,,,,33,,,,
,,,,,33,,,,
4,6,0,6,,33,,,0,6
6,11,0,11,,33,,,0,11
5,8,0,8,,33,,,0,8
,,,,,33,,2,,
2,2,0,2,,33,,,0,2
9,10,0,10,,33,,,0,10
5,7,0,7,,33,,,0,7
3,9,0,9,,33,,,0,9
2,5,0,5,,33,,,0,5
2,2,0,2,,33,,,0,2
2,5,0,5,,33,,,0,5
4,6,0,6,,33,,,0,6
3,10,0,10,,33,,,0,10
,,,,,33,,2,,
,,,,,33,,,,
4,9,0,9,1,46,,,0,10
3,8,0,8,,46,,,0,8
6,8,0,8,,46,,,0,8
4,9,0,9,,46,,,0,9
3,8,0,8,,46,,,0,8
3,6,0,6,,46,,,0,6
5,8,0,8,,46,,,0,8
5,13,0,13,,46,,,0,13
5,5,0,5,3,46,,,0,8
2,5,0,4,3,46,1,,1,8
3,8,0,8,,46,,,0,8
9,18,0,18,,46,,,0,18
5,10,0,10,,46,,,0,10
4,8,0,8,,46,,,0,8
5,9,0,9,,46,,,0,9
4,7,0,7,,46,,,0,7
4,10,0,12,,46,,,0,11
1,3,0,3,1,46,,,0,4
,,,,,46,,,,
2,2,0,2,,46,,,0,2
4,8,0,8,,46,,,0,8
4,5,0,5,,46,,,0,5
,,,,,46,,,,
,,,,,36,,,,
2,3,0,3,,36,,,0,3
4,7,0,7,,36,,,0,7
4,8,0,8,,36,,,0,8
5,5,0,5,,36,,,0,5
5,8,0,8,,36,,,0,8
4,9,0,9,1,36,,,0,10
4,5,0,5,,36,,,0,5
4,9,0,9,,36,,,0,9
3,10,0,10,1,36,,,0,11
2,6,0,4,,36,1,,2,6
3,4,0,4,,36,,,0,4
2,3,0,3,1,36,,,0,4
2,4,0,4,1,36,,,0,5
3,8,0,8,3,36,,,0,11
4,4,0,4,,36,,,0,4
,,,,,36,,,,
,,,,,36,,,,
2,3,0,3,1,19,,,0,4
2,5,0,5,,19,,,0,5
4,6,0,6,2,19,,,0,8
6,14,0,14,,19,,,0,14
3,6,0,6,2,19,,,0,8
3,7,0,7,,19,,,0,7
2,6,0,6,1,19,,,0,7
4,8,0,8,,19,,,0,8
2,3,0,3,,19,,,0,3
,,,,,19,,,,
,,,,,67,,,,
3,6,0,6,,67,,,0,6
4,10,0,12,,67,,,0,11
2,4,0,4,,67,,,0,4
,,,,,67,,,,
,,,,,67,,,,
4,10,0,10,,67,,,0,10
4,8,0,8,,67,,,0,8
4,5,0,5,,67,,,0,5
5,9,0,9,,67,,,0,9
3,11,0,10,4,67,1,,1,15
3,13,0,13,1,67,,,0,14
3,4,1,3,,67,,,1,4
,,,,,67,,2,,
,,,,,67,,2,,
3,3,0,3,,67,,,0,3
3,8,0,8,1,67,,,0,9
2,5,0,5,,67,,,0,5
3,5,0,5,,67,,,0,5
5,11,0,11,,67,,,0,11
6,20,0,22,1,67,,,0,22
6,12,0,12,2,67,,,0,14
2,3,0,3,1,67,,,0,4
,,,,,67,,,,
,,,,,67,,2,,
,,,,,67,,2,,
3,7,0,7,,67,,,0,7
5,10,0,10,,67,,,0,10
3,8,0,8,,67,,,0,8
3,9,0,9,,67,,,0,9
2,4,0,4,,67,,,0,4
,,,,,67,,,,
,,,,,67,,,,
,,,,,67,,,,
,,,,,60,,,,
,,,,,60,,2,,
2,2,0,2,,60,,,0,2
4,4,0,4,,60,,,0,4
5,6,0,6,,60,,,0,6
5,7,0,7,,60,,,0,7
,,,,,60,,,,
4,6,0,6,,60,,,0,6
7,12,0,14,,60,,,0,13
7,9,0,9,,60,,,0,9
11,12,0,11,,60,1,,1,12
8,13,0,13,,60,,,0,13
7,11,0,11,,60,,,0,11
5,5,0,5,2,60,,,0,7
7,11,0,11,,60,,,0,11
4,8,0,8,,60,,,0,8
,,,,,60,,2,,
5,7,0,7,,60,,,0,7
7,12,0,12,1,60,,,0,13
7,7,0,7,2,60,,,0,9
7,14,0,14,,60,,,0,14
9,13,0,13,,60,,,0,13
7,12,0,12,,60,,,0,12
7,11,0,11,1,60,,,0,12
3,9,1,8,,60,,,1,9
4,6,0,6,,60,,,0,6
3,5,0,5,,60,,,0,5
,,,,,60,,,,
,,,,,60,,,,
,,,,,60,,,,
,,,,,163,,,,
,,,,,163,,,,
,,,,,163,,2,,
3,4,0,4,,163,,,0,4
4,4,0,4,,163,,,0,4
,,,,,163,,,,
2,3,0,3,,163,,,0,3
2,6,0,6,,163,,,0,6
3,11,0,11,,163,,,0,11
3,4,0,4,,163,,,0,4
,,,,,163,,2,,
3,3,0,3,,163,,,0,3
5,6,0,6,,163,,,0,6
3,4,0,4,,163,,,0,4
7,13,0,13,5,163,,,0,18
8,23,0,23,1,163,,,0,24
3,5,0,5,,163,,,0,5
,,,,,163,,,,
,,,,,163,,2,,
,,,,,163,,,,
3,5,0,5,2,163,,,0,7
3,4,0,4,,163,,,0,4
3,6,0,6,,163,,,0,6
,,,,,163,,2,,
,,,,,163,,,,
1,3,0,3,2,163,,,0,5
2,5,0,5,2,163,,,0,7
3,6,0,6,1,163,,,0,7
,,,,,163,,,,
,,,,,163,,,,
1,7,1,6,,163,1,,1,7
8,14,0,14,,163,,,0,14
12,25,0,25,1,163,,,0,26
9,15,0,15,2,163,,,0,17
3,7,0,7,1,163,,,0,8
6,9,0,9,,163,,,0,9
6,11,0,11,,163,,,0,11
5,18,0,18,2,163,,,0,20
3,10,0,10,,163,,,0,10
2,4,0,4,,163,,,0,4
1,6,0,6,2,163,,,0,8
2,6,0,6,3,163,,,0,9
2,2,0,2,,163,,,0,2
2,4,0,4,,163,,,0,4
2,4,0,4,1,163,,,0,5
2,5,0,4,,163,1,,1,5
2,4,0,4,1,163,,,0,5
4,7,0,7,,163,,,0,7
4,12,0,12,1,163,,,0,13
6,9,0,9,,163,,,0,9
6,10,0,10,,163,,,0,10
6,9,0,9,,163,,,0,9
4,7,0,9,,163,,,0,8
4,7,0,7,,163,,,0,7
3,7,0,7,,163,,,0,7
,,,,,163,,,,
3,4,0,4,,163,,,0,4
3,4,0,4,,163,,,0,4
3,5,0,5,,163,,,0,5
4,4,0,4,,163,,,0,4
3,7,0,7,,163,,,0,7
4,9,0,9,,163,,,0,9
5,9,0,9,,163,,,0,9
4,5,0,5,,163,,,0,5
3,7,0,7,,163,,,0,7
4,7,0,7,1,163,,,0,8
2,3,0,3,,163,,,0,3
2,4,0,4,,163,,,0,4
2,4,0,4,,163,,,0,4
,,,,,163,,,,
,,,,,163,,2,,
1,4,0,4,1,163,,,0,5
3,6,0,4,1,163,2,,2,7
6,7,0,7,1,163,,,0,8
3,5,0,5,,163,,,0,5
,,,,,163,,,,
,,,,,163,,2,,
,,,,,163,,2,,
,,,,,163,,,,
,,,,,163,,,,
,,,,,163,,,,
,,,,,163,,,,
,,,,,142,,,,
,,,,,142,,,,
,,,,,142,,,,
,,,,,142,,,,
,,,,,142,,,,
,,,,,142,,,,
,,,,,142,,2,,
,,,,,142,,,,
,,,,,142,,,,
,,,,,142,,,,
,,,,,142,,,,
,,,,,142,,,,
,,,,,142,,2,,
,,,,,142,,,,
4,5,0,5,,142,,,0,5
6,6,0,6,,142,,,0,6
2,3,0,2,,142,1,,1,3
5,8,0,8,,142,,,0,8
7,9,0,9,1,142,,,0,10
5,5,0,5,1,142,,,0,6
3,3,0,3,,142,,,0,3
2,4,0,4,,142,,,0,4
4,10,0,10,,142,,,0,10
4,8,0,8,,142,,,0,8
2,4,0,4,3,142,,,0,7
,,,,,142,,2,,
2,5,0,5,,142,,,0,5
2,5,2,3,,142,,,2,5
2,6,0,6,,142,,,0,6
4,4,0,4,,142,,,0,4
2,10,0,10,2,142,,,0,12
,,,,,142,,2,,
,,,,,142,,,,
,,,,,142,,,,
,,,,,142,,,,
,,,,,142,,,,
,,,,,142,,,,
,,,,,142,,,,
,,,,,142,,,,
,,,,,142,,,,
0,4,2,0,1,142,,,4,5
0,5,2,0,1,142,,,5,6
,,,,,142,,,,
,,,,,142,,,,
,,,,,142,,,,
0,5,3,0,1,142,,,5,6
0,7,3,0,1,142,,,7,8
0,4,2,0,,142,,,4,4
0,12,6,0,1,142,,,12,13
0,8,6,0,1,142,,,8,9
,,,,,142,,,,
1,4,1,1,,142,1,,3,4
,,,,,142,,,,
,,,,,142,,,,
0,4,3,0,1,142,,,4,5
0,6,2,0,,142,,,6,6
1,6,2,1,,142,1,,5,6
0,11,6,0,,142,,,11,11
,,,,,142,,,,
,,,,,142,,,,
,,,,,142,,,,
,,,,,142,,,,
3,8,1,5,,142,,,3,8
3,7,1,4,,142,,,3,7
,,,,,142,,,,
2,2,0,2,,142,,,0,2
2,2,0,2,,142,,,0,2
,,,,,142,,,,
,,,,,142,,,,
,,,,,142,,,,
,,,,,142,,,,
,,,,,50,,,,
,,,,,50,,,,
2,4,0,4,,50,,,0,4
2,4,0,4,,50,,,0,4
3,5,0,5,,50,,,0,5
5,7,0,7,,50,,,0,7
8,12,0,12,,50,,,0,12
3,6,0,6,,50,,,0,6
6,6,0,6,1,50,,,0,7
4,4,0,4,,50,,,0,4
0,2,2,0,,50,,,2,2
7,10,0,10,2,50,,,0,12
8,13,0,13,2,50,,,0,15
12,18,0,18,,50,,,0,18
4,5,0,5,3,50,,,0,8
6,7,0,7,1,50,,,0,8
3,7,0,7,,50,,,0,7
,,,,,50,,,,
8,8,0,8,,50,,,0,8
10,18,0,18,,50,,,0,18
3,5,0,5,2,50,,,0,7
,,,,,50,,,,
,,,,,50,,,,
,,,,,50,,,,
,,,,,50,,,,
,,,,,116,,,,
,,,,,116,,,,
,,,,,116,,2,,
,,,,,116,,,,
,,,,,116,,2,,
2,2,0,2,,116,,,0,2
2,3,0,3,,116,,,0,3
,,,,,116,,,,
,,,,,116,,,,
,,,,,116,,,,
,,,,,116,,,,
,,,,,116,,,,
3,7,0,7,,116,,,0,7
5,6,0,6,,116,,,0,6
,,,,,116,,,,
4,8,0,8,,116,,,0,8
4,7,0,7,,116,,,0,7
2,3,0,3,,116,,,0,3
,,,,,116,,,,
,,,,,116,,2,,
,,,,,116,,,,
,,,,,116,,,,
2,3,0,3,,116,,,0,3
2,4,0,4,,116,,,0,4
,,,,,116,,,,
,,,,,116,,,,
5,6,0,7,,116,1,,1,7
2,4,1,3,,116,1,,1,4
,,,,,116,,,,
,,,,,116,,,,
,,,,,116,,,,
,,,,,116,,2,,
1,3,0,3,1,116,,,0,4
,,,,,116,,,,
,,,,,116,,,,
,,,,,116,,,,
,,,,,116,,,,
,,,,,116,,,,
,,,,,116,,2,,
4,9,0,9,2,116,,,0,11
4,6,0,6,3,116,,,0,9
,,,,,116,,2,,
,,,,,116,,2,,
,,,,,116,,2,,
,,,,,116,,,,
,,,,,116,,2,,
,,,,,116,,2,,
,,,,,116,,,,
,,,,,116,,2,,
,,,,,116,,2,,
,,,,,116,,,,
3,4,0,4,,116,,,0,4
2,4,0,4,,116,,,0,4
1,1,0,1,2,116,,,0,3
,,,,,116,,,,
,,,,,116,,,,
,,,,,116,,,,
,,,,,116,,,,
3,5,0,5,,75,,,0,5
4,6,0,6,,75,,,0,6
2,2,0,2,,75,,,0,2
,,,,,75,,,,
4,5,0,5,,75,,,0,5
3,8,0,8,,75,,,0,8
3,6,0,6,1,75,,,0,7
4,10,0,10,3,75,,,0,13
2,6,0,6,5,75,,,0,11
2,4,0,4,,75,,,0,4
,,,,,75,,,,
,,,,,75,,,,
2,5,0,3,,75,2,,2,5
,,,,,75,,2,,
2,3,0,3,,75,,,0,3
5,11,0,11,,75,,,0,11
7,13,0,13,,75,,,0,13
3,10,0,10,,75,,,0,10
3,8,0,8,,75,,,0,8
,,,,,75,,,,
2,4,0,4,,75,,,0,4
,,,,,75,,2,,
1,6,0,5,1,75,1,,1,7
,,,,,75,,2,,
,,,,,75,,2,,
3,4,0,4,,75,,,0,4
2,4,0,4,,75,,,0,4
3,7,0,7,,75,,,0,7
2,4,0,4,,75,,,0,4
3,6,0,6,,75,,,0,6
3,5,0,5,,75,,,0,5
,,,,,75,,,,
3,10,0,10,1,75,,,0,11
4,10,0,10,,75,,,0,10
3,7,0,7,,75,,,0,7
,,,,,75,,2,,
,,,,,75,,,,
,,,,,75,,,,
,,,,,118,,,,
,,,,,118,,,,
4,4,0,4,,118,,,0,4
5,7,0,7,1,118,,,0,8
2,4,0,4,2,118,,,0,6
4,8,0,8,,118,,,0,8
3,7,0,7,1,118,,,0,8
5,6,0,6,,118,,,0,6
,,,,,118,,,,
,,,,,118,,,,
,,,,,118,,,,
,,,,,118,,2,,
2,10,0,10,,118,,,0,10
3,11,0,11,,118,,,0,11
5,9,0,9,,118,,,0,9
4,8,0,8,2,118,,,0,10
8,14,0,14,1,118,,,0,15
5,7,0,7,,118,,,0,7
,,,,,118,,,,
3,6,0,6,,118,,,0,6
4,5,0,9,1,118,,,0,8
,,,,,118,,,,
,,,,,118,,,,
,,,,,118,,,,
8,14,0,14,,118,,,0,14
8,10,0,10,1,118,,,0,11
5,11,0,11,1,118,,,0,12
4,6,0,6,,118,,,0,6
,,,,,118,,,,
4,11,0,10,2,118,1,,1,13
4,8,0,8,,118,,,0,8
4,11,0,11,,118,,,0,11
4,9,0,9,,118,,,0,9
6,10,0,10,2,118,,,0,12
5,9,0,9,,118,,,0,9
,,,,,118,,,,
3,7,0,7,1,118,,,0,8
6,10,0,10,,118,,,0,10
,,,,,118,,,,
8,9,0,9,1,118,,,0,10
9,9,0,9,,118,,,0,9
,,,,,118,,,,
9,10,0,10,,118,,,0,10
5,10,0,10,3,118,,,0,13
5,8,0,8,1,118,,,0,9
6,10,0,10,,118,,,0,10
4,6,0,6,,118,,,0,6
7,7,0,7,,118,,,0,7
6,7,0,7,,118,,,0,7
,,,,,118,,,,
2,4,0,4,,118,,,0,4
2,5,0,5,,118,,,0,5
,,,,,118,,2,,
4,9,0,9,,118,,,0,9
3,10,0,10,,118,,,0,10
,,,,,118,,,,
,,,,,118,,,,
,,,,,118,,,,
,,,,,118,,,,
7,7,0,7,,27,,,0,7
10,13,0,13,1,27,,,0,14
6,16,0,16,1,27,,,0,17
3,11,0,11,,27,,,0,11
7,12,0,12,,27,,,0,12
1,11,0,11,3,27,,,0,14
3,6,0,6,,27,,,0,6
5,11,0,11,,27,,,0,11
5,8,0,8,,27,,,0,8
2,6,0,6,,27,,,0,6
2,8,0,8,1,27,,,0,9
,,,,,27,,,,
,,,,,27,,,,
,,,,,27,,,,
